I0,I1
7329,7125
2218,7101
2217,7052
2184,7001
2115,6949
2009,6896
1916,6842
1830,6786
1736,6729
1641,6672
1551,6612
1456,6552
1355,6491
1272,6429
1179,6366
1083,6301
979,6236
875,6170
783,6103
690,6035
587,5966
486,5896
403,5826
312,5755
216,5683
120,5610
23,5537
8129,5463
8043,5388
7954,5313
7858,5238
7773,5161
7686,5085
7597,5008
7503,4930
7411,4853
7328,4775
7242,4696
7152,4617
7050,4539
6968,4459
6879,4380
6783,4301
6684,4221
6590,4142
6503,4062
6414,3983
6318,3903
6210,3824
6125,3745
6035,3665
5943,3587
5843,3508
5754,3429
5667,3351
5576,3273
5478,3196
5372,3119
5286,3042
5195,2966
5100,2890
5004,2815
4919,2741
4830,2667
4736,2593
4635,2520
4532,2448
4441,2377
4350,2307
4256,2237
4165,2168
4080,2100
3994,2032
3905,1966
3811,1901
3717,1836
3627,1773
3541,1710
3451,1649
3355,1589
3276,1529
3191,1471
3105,1414
3011,1359
2923,1304
2834,1251
2743,1199
2646,1148
2539,1098
2454,1050
2362,1003
2270,958
2169,913
2034,871
1942,829
1847,789
1746,751
1647,714
1558,678
1460,644
1362,612
1316,581
1227,551
1089,524
987,497
883,472
791,449
699,428
609,408
530,389
471,373
430,358
386,344
348,332
312,322
278,314
253,307
235,302
222,298
211,296
201,296
193,298
188,301
186,306
188,312
190,320
193,330
197,341
204,354
214,369
227,385
241,403
257,423
274,444
296,467
320,491
345,517
369,545
396,574
426,605
455,637
482,670
516,706
562,742
602,780
643,820
685,861
723,903
764,947
806,993
845,1039
897,1087
951,1136
1001,1187
1059,1239
1107,1292
1159,1346
1206,1401
1262,1458
1313,1516
1366,1575
1433,1635
1492,1696
1552,1758
1615,1822
1672,1886
1743,1951
1815,2017
1890,2084
1955,2152
2018,2221
2082,2290
2146,2361
2215,2432
2284,2504
2352,2576
2418,2650
2487,2723
2553,2798
2633,2873
2707,2949
2774,3025
2846,3101
2918,3178
2992,3256
3066,3333
3134,3411
3204,3490
3275,3568
3349,3647
3430,3726
3507,3806
3585,3885
3664,3964
3746,4044
3833,4096
3918,4176
3988,4255
4058,4334
4132,4414
4200,4493
4287,4572
4370,4651
4452,4729
4532,4808
4624,4886
4706,4963
4792,5041
4869,5117
4941,5194
5007,5270
5085,5345
5161,5420
5241,5494
5320,5568
5389,5641
5476,5713
5555,5785
5627,5856
5699,5926
5765,5995
5833,6064
5903,6131
5975,6198
6047,6264
6114,6329
6179,6392
6249,6455
6324,6517
6393,6578
6452,6638
6516,6696
6570,6754
6638,6810
6695,6865
6763,6919
6817,6972
6873,7023
6924,7073
6979,7122
7030,7169
7085,7215
7142,7260
7190,7303
7239,7345
7281,7386
7326,7425
7371,7463
7415,7499
7467,7533
7504,7567
7540,7598
7581,7628
7617,7657
7651,7684
7687,7709
7720,7733
7748,7755
7778,7776
7808,7795
7833,7812
7853,7828
7873,7842
7895,7855
7919,7866
7939,7875
7953,7882
7964,7888
7971,7893
7977,7895
7983,7896
7988,7895
7991,7893
7991,7889
7991,7883
7989,7876
7987,7866
7984,7856
7979,7843
7972,7829
7963,7814
7952,7796
7936,7777
7918,7757
7896,7735
7875,7711
7857,7686
7838,7659
7818,7631
7790,7601
7758,7569
7726,7536
7693,7501
7656,7465
7620,7428
7584,7389
7538,7348
7480,7307
7438,7263
7393,7219
7357,7173
7316,7125
7271,7077
7225,7027
7171,6975
7123,6923
7062,6869
7012,6814
6964,6758
6909,6701
6852,6642
6790,6583
6724,6522
6660,6460
6596,6397
6537,6334
6476,6269
6415,6203
6345,6136
6278,6069
6197,6000
6144,5931
6080,5861
6016,5790
5947,5719
5868,5646
5807,5573
5735,5500
5673,5426
5603,5351
5525,5275
5451,5200
5364,5123
5300,5046
5228,4969
5152,4892
5073,4814
4998,4735
4927,4657
4854,4578
4775,4499
4689,4420
4610,4341
4523,4261
4449,4182
4373,4102
4293,4023
4208,3943
4139,3864
4062,3784
3987,3705
3910,3626
3825,3547
3747,3469
3669,3390
3594,3312
3520,3235
3443,3157
3359,3080
3291,3004
3217,2928
3144,2853
3072,2778
2989,2703
2913,2630
2841,2557
2766,2484
2691,2413
2613,2342
2523,2272
2460,2202
2389,2134
2317,2066
2248,1999
2166,1933
2102,1868
2032,1804
1969,1741
1904,1680
1829,1619
1759,1559
1680,1500
1625,1443
1564,1386
1507,1331
1443,1277
1379,1224
1318,1173
1268,1123
1212,1074
1163,1026
1106,980
1051,935
989,892
940,850
885,809
837,770
798,732
755,696
710,661
667,628
622,596
584,566
542,537
506,510
479,485
455,461
433,438
406,418
379,398
353,381
330,365
310,351
292,338
275,327
260,318
246,310
234,304
224,300
217,297
212,296
209,297
206,299
206,303
207,309
208,316
210,325
214,335
220,348
227,362
238,377
250,394
266,413
283,433
305,455
328,479
350,504
371,531
397,559
427,589
454,620
480,653
511,688
554,724
596,761
